title,total_price,listed_price,is_sponsored,is_couponed,buy_box_availability,reputation,demand
"boya boyalink 2 wireless lavalier microphone for iphone camera android, mini lapel micophone wireless, 48 khz 24 bit, 6mm mic, 1000ft, 30h use, noise cancelling, clip on mic usb-c/lightning/3.5mm trs",0.08740852130325814,0.028804113125786547,1,<25%,1,0.4502160358688858,low
"lisen usb c to lightning cable, 240w 4 in 1 charging cable 6.6ft, chubby usb a/c to c/lightning with light for iphone 16e 15 14 pro/macbook air 17/ipad/samsung/switch 2, multi chargers for all devices",0.0075187969924812035,0.002298249808633635,1,no,1,0.4139186740480847,middle
"dji mic 2 (2 tx + 1 rx + charging case), wireless lavalier microphone, intelligent noise cancelling, 32-bit float internal recording, 820 ft.(250m) range, microphone for iphone, android, camera",0.31229072681704256,0.06401923116130193,1,no,1,0.4517577463877531,middle
"apple airpods pro 2 wireless earbuds, active noise cancellation, hearing aid feature, bluetooth headphones, transparency, personalized spatial audio, high-fidelity sound, h2 chip, usb-c charging",0.06762907268170426,0.01229934333072,0,no,0,0.47072615778474275,middle
"apple airtag 4 pack. keep track of and find your keys, wallet, luggage, backpack, and more. simple one-tap set up with iphone or ipad",0.06762907268170426,0.01229934333072,0,no,0,0.4917439351106808,middle
"texas instruments ti-84 plus ce color graphing calculator, black",0.06762907268170426,0.01229934333072,0,no,0,0.47571693293761413,high
"apple airpods 4 wireless earbuds, bluetooth headphones, personalized spatial audio, sweat and water resistant, usb-c charging case, h2 chip, up to 30 hours of battery life, effortless setup for iphone",0.06762907268170426,0.01229934333072,0,no,0,0.44527786891590426,middle
"apple airtag. keep track of and find your keys, wallet, luggage, backpack, and more. simple one-tap set up with iphone or ipad",0.06762907268170426,0.01229934333072,0,no,0,0.4720102426417836,middle
complete protect: one plan covers all eligible past and future purchases on amazon,0.014536340852130323,0.0024835925351363473,0,>=25%,0,0.37752946810120647,low
"apple ipad 11-inch: a16 chip, 11-inch model, liquid retina display, 128gb, wi-fi 6, 12mp front/12mp back camera, touch id, all-day battery life — blue",0.06762907268170426,0.01229934333072,0,no,0,0.46672078634745734,middle
"amazon basics 48-pack aa alkaline high-performance batteries, 1.5 volt, 10-year shelf life",0.012531328320802004,0.0021129070821309225,0,no,1,0.9624999999999999,high
"apple 2025 macbook air 13-inch laptop with m4 chip: built for apple intelligence, 13.6-inch liquid retina display, 16gb unified memory, 256gb ssd storage, 12mp center stage camera, touch id; midnight",0.06762907268170426,0.01229934333072,0,no,0,0.4761050176929911,middle
transformers tf-t01 true wireless earbuds wireless bluetooth 5.4 ear buds deep bass sound earbud with smart noise cancelling mic ipx5 waterproof in ear earphones for android ios blue optimus prime,0.02756892230576441,0.00489304797967161,1,no,1,0.4000872230379727,low
seagate ironwolf 12tb nas internal hard drive hdd – cmr 3.5 inch sata 6gb/s 7200 rpm 256mb cache for raid network attached storage (st12000vnz008/st12000vn0008),0.2481203007518797,0.04566844781026836,1,no,1,0.4319749548577456,low
"peak design slide lite camera strap, black, configurable as a sling, neck or shoulder strap, quick release and connection, smooth and grippy side, camera straps for photographers, 200 lb capacity",0.06762907268170426,0.01229934333072,1,no,1,0.46667861891850365,low
"texas instruments ti-30xiis scientific calculator, black with blue accents",0.06762907268170426,0.01229934333072,0,no,0,0.490496284645164,high
"amazon basics multipurpose copy printer paper, 20 lb, 8.5 x 11 inches, 8 reams (4,000 sheets), 92 bright, white",0.03757393483709273,0.00674276839016868,0,no,1,0.5896671025893112,high
"amazon basics aaa alkaline high-performance batteries, 1.5 volt, 10-year shelf life, 36 count (pack of 1)",0.012030075187969926,0.002020235718879566,0,no,1,0.8239701760750096,high
"amazon basics clear thermal laminating plastic paper laminator sheets, 9 x 11.5-inch, 200-pack, 3mil",0.014526315789473682,0.0024817391078713206,0,no,1,0.5263888102662093,high
"roku streaming stick hd 2025 — hd streaming device for tv with roku voice remote, free & live tv",0.06762907268170426,0.01229934333072,0,no,0,0.4511021295129257,middle
"energizer aa batteries alkaline power, 32 count alkaline double a battery pack",0.014496240601503757,0.0030377672873794577,0,no,1,0.5103259080149307,high
"apple watch se (2nd gen) [gps 40mm] smartwatch with starlight aluminum case with starlight sport band s/m. fitness and sleep trackers, crash detection, heart rate monitor, retina display",0.06762907268170426,0.01229934333072,0,no,0,0.4574162687717263,middle
"amazon basics wood-cased #2 pencils, pre-sharpened, hb lead bulk box, 150 count, yellow",0.007418546365914787,0.0019905808826391324,0,no,1,0.5063327102566205,high
"apple earpods headphones with usb-c plug, wired ear buds with built-in remote to control music, phone calls, and volume",0.06762907268170426,0.01229934333072,0,no,0,0.4587142168930807,middle
