title,rating,number_of_reviews,bought_in_last_month,total_price,listed_price,is_sponsored,is_couponed,buy_box_availability
"boya boyalink 2 wireless lavalier microphone for iphone camera android, mini lapel micophone wireless, 48 khz 24 bit, 6mm mic, 1000ft, 30h use, noise cancelling, clip on mic usb-c/lightning/3.5mm trs",4.6,375,300,89.68,159.0,1,<25%,1
"lisen usb c to lightning cable, 240w 4 in 1 charging cable 6.6ft, chubby usb a/c to c/lightning with light for iphone 16e 15 14 pro/macbook air 17/ipad/samsung/switch 2, multi chargers for all devices",4.3,2457,6000,9.99,15.99,1,no,1
"dji mic 2 (2 tx + 1 rx + charging case), wireless lavalier microphone, intelligent noise cancelling, 32-bit float internal recording, 820 ft.(250m) range, microphone for iphone, android, camera",4.6,3044,2000,314.0,349.0,1,no,1
"apple airpods pro 2 wireless earbuds, active noise cancellation, hearing aid feature, bluetooth headphones, transparency, personalized spatial audio, high-fidelity sound, h2 chip, usb-c charging",4.6,35882,10000,69.95,69.95,0,no,0
"apple airtag 4 pack. keep track of and find your keys, wallet, luggage, backpack, and more. simple one-tap set up with iphone or ipad",4.8,28988,10000,69.95,69.95,0,no,0
"texas instruments ti-84 plus ce color graphing calculator, black",4.6,44522,100000,69.95,69.95,0,no,0
"apple airpods 4 wireless earbuds, bluetooth headphones, personalized spatial audio, sweat and water resistant, usb-c charging case, h2 chip, up to 30 hours of battery life, effortless setup for iphone",4.5,13466,10000,69.95,69.95,0,no,0
"apple airtag. keep track of and find your keys, wallet, luggage, backpack, and more. simple one-tap set up with iphone or ipad",4.6,38105,10000,69.95,69.95,0,no,0
complete protect: one plan covers all eligible past and future purchases on amazon,4.0,4380,200,16.99,16.99,0,>=25%,0
"apple ipad 11-inch: a16 chip, 11-inch model, liquid retina display, 128gb, wi-fi 6, 12mp front/12mp back camera, touch id, all-day battery life — blue",4.7,7308,10000,69.95,69.95,0,no,0
"amazon basics 48-pack aa alkaline high-performance batteries, 1.5 volt, 10-year shelf life",4.7,865598,100000,14.99,14.99,0,no,1
"apple 2025 macbook air 13-inch laptop with m4 chip: built for apple intelligence, 13.6-inch liquid retina display, 16gb unified memory, 256gb ssd storage, 12mp center stage camera, touch id; midnight",4.8,1914,10000,69.95,69.95,0,no,0
transformers tf-t01 true wireless earbuds wireless bluetooth 5.4 ear buds deep bass sound earbud with smart noise cancelling mic ipx5 waterproof in ear earphones for android ios blue optimus prime,4.2,152,100,29.99,29.99,1,no,1
seagate ironwolf 12tb nas internal hard drive hdd – cmr 3.5 inch sata 6gb/s 7200 rpm 256mb cache for raid network attached storage (st12000vnz008/st12000vn0008),4.4,12076,1000,249.99,249.99,1,no,1
